name,category,brand,price,mode,unit,url
 Beef Broth,Soups & Broth,Best Yet,1.69,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4218730337
 Chicken Broth,Soups & Broth,Best Yet,1.69,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4218730338
 Reduced Sodium Chicken Broth ,Soups & Broth,Best Yet,1.69,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4218730342
Ajinomoto Stock Soup  2.11oz,Soups & Broth,Hondashi,0.89,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/071757360075
 Honey Bear,Spreads,Best Yet,3.49,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/042187265032
 Unsweetened Applesauce 6-pack,Spreads,Best Yet,1.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4218720546
 Low Sugar Grape Jelly,Spreads,Smucker's,2.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/051500016671
 Low Sugar Strawberry Jelly,Spreads,Smucker's,3.49,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/051500016695
 Peanut Butter Smooth,Spreads,Teddie,1.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/0cdce955
", Chunky, All Natural Peanut Butter",Spreads,Teddie,2.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/d0545f8c
", Unsalted Smooth, All Natural Peanut Butter",Spreads,Teddie,2.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/071018010176
 Chicken Taquitos,Frozen Meals,Jose Ole,5.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/073202894531
 Chicken Pot Pie,Frozen Meals,Marie Callender's,3.69,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/021131501112
 Garden Veggie Burgers 4ct,Frozen Meals,MorningStar Farms,4.49,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/028989100689
 Mild Jamaican Patties,Frozen Meals,Tower Isle's,5.49,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/073773123368
 Chicken Potstickers,Frozen Meals,Tai Pei,3.49,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/47e3cc95
 Bean & Cheese Burrito,Frozen Meals,Tina's,0.69,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/079606010454
 Beef & Bean Burrito,Frozen Meals,Tina's,0.69,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/079606010256
Chicken Tenders,Poultry Counter,,2.99,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/21515600530
Chicken Thighs Bone-In Family Pack,Poultry Counter,,1.49,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/20101200644
"Chicken Thighs Boneless, Skinless",Poultry Counter,,3.99,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/21705700316
"Chicken Wings, Family Pack",Poultry Counter,,3.99,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/21149900538
 Mild Mexican Style Chicken Sausage,Poultry Counter,Al Fresco,1.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/db16b721
"Chicken Breast, Family Pack",Poultry Counter,,1.99,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/477e302d
"Chicken Drumsticks, Family Pack",Poultry Counter,,1.49,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/0614b4b8
Chicken Breast Thin-Sliced,Poultry Counter,,2.49,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/6b8866ce
Chicken Leg Quarters,Poultry Counter,,1.29,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/b38e413b
 Ground Turkey,Poultry Counter,Plainville Farms,3.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/e028387d
 Original Unsweetened Almondmilk,Milk Alternatives,Almond Breeze,3.49,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/041570056707
